actor,Movie_or_TV_name
Sonny Grosso,Making the Connection: Untold Stories of 'the French Connection'
Sonny Grosso,The Joe Spinell Story
Sonny Grosso,The Poughkeepsie Shuffle: Tracing 'the French Connection'
Sonny Grosso,Hollywood Behind the Badge: A Century of Cops and Detectives
Sonny Grosso,Top Cops
Sonny Grosso,The Godfather Trilogy: 1901-1980
Louis Guss,Find Me Guilty
Louis Guss,A Tale of Two Pizzas
Louis Guss,100 Centre Street
Louis Guss,The Crew
Louis Guss,Pedestrian
Louis Guss,The Yards
Louis Guss,Girlfight
Louis Guss,Two Family House
Louis Guss,A Wake in Providence
Louis Guss,Law & Order
Louis Guss,Silk Stalkings
Louis Guss,Night Falls on Manhattan
Louis Guss,The Single Guy
Louis Guss,The Commish
Louis Guss,Chicago Hope
Louis Guss,The Counterfeit Contessa
Louis Guss,Mad About You
Louis Guss,The Nanny
Louis Guss,The Cemetery Club
Louis Guss,Used People
Louis Guss,Down the Shore
Louis Guss,Civil Wars
Louis Guss,Sisters
Louis Guss,The Golden Girls
Louis Guss,The Man in the Family
Louis Guss,True Colors
Louis Guss,Who's the Boss?
Louis Guss,The Fanelli Boys
Louis Guss,Glory Days
Louis Guss,Quantum Leap
Louis Guss,American Blue Note
Louis Guss,Island Son
Louis Guss,Slaves of New York
Louis Guss,Father Dowling Mysteries
Louis Guss,Original Sin
Louis Guss,The Bronx Zoo
Louis Guss,Knightwatch
Louis Guss,CBS Summer Playhouse
Louis Guss,Frank Nitti: The Enforcer
Louis Guss,Moonstruck
Louis Guss,I'll Take Manhattan
Louis Guss,Vasectomy: A Delicate Matter
Louis Guss,Seize the Day
Louis Guss,Tales from the Darkside
Louis Guss,Highlander
Louis Guss,Gimme a Break!
Louis Guss,Texas Godfather
Louis Guss,Brass
Louis Guss,Cagney & Lacey
Louis Guss,"Trapper John, M.D."
Louis Guss,Hart to Hart
Louis Guss,Silver Spoons
Louis Guss,Baker's Dozen
Louis Guss,Taxi
Louis Guss,CBS Children's Mystery Theatre
Louis Guss,Willie & Phil
Louis Guss,Nick and the Dobermans
Louis Guss,The Rockford Files
Louis Guss,"Beggarman, Thief"
Louis Guss,H.O.T.S.
Louis Guss,Barnaby Jones
Louis Guss,The Eddie Capra Mysteries
Louis Guss,Chico and the Man
Louis Guss,Sugar Time!
Louis Guss,One Day at a Time
Louis Guss,Annie Flynn
Louis Guss,All in the Family
Louis Guss,Tabitha
Louis Guss,The Godfather Saga
Louis Guss,CHiPs
Louis Guss,Kojak
Louis Guss,"New York, New York"
Louis Guss,Charlie's Angels
Louis Guss,Quincy M.E.
Louis Guss,The Mary Tyler Moore Show
Louis Guss,Fun with Dick and Jane
Louis Guss,Busting Loose
Louis Guss,Switch
Louis Guss,Nickelodeon
Louis Guss,Holmes and Yoyo
Louis Guss,Delvecchio
Louis Guss,Baretta
Louis Guss,"No Deposit, No Return"
Louis Guss,Maude
Louis Guss,Lucky Lady
Louis Guss,The Art of Crime
Louis Guss,Rhoda
Louis Guss,Phyllis
Louis Guss,Ellery Queen
Louis Guss,Lepke
Louis Guss,The Odd Couple
Louis Guss,Harry O
Louis Guss,Terror on the 40th Floor
Louis Guss,Harry and Tonto
Louis Guss,The Super Cops
Louis Guss,Mannix
Louis Guss,Crazy Joe
Louis Guss,The Laughing Policeman
Louis Guss,Shaft
Louis Guss,Sanford and Son
Louis Guss,The Third Girl from the Left
Louis Guss,Love Thy Neighbor
Louis Guss,The Marcus-Nelson Murders
Louis Guss,The Godfather
Louis Guss,Stiletto
Louis Guss,N.Y.P.D.
Louis Guss,The Outsider
Louis Guss,I Spy
Louis Guss,The Trials of O'Brien
Louis Guss,Ready for the People
Louis Guss,Love with the Proper Stranger
Louis Guss,East Side/West Side
Louis Guss,Naked City
Louis Guss,Route 66
Louis Guss,The DuPont Show of the Month
Louis Guss,Deadline
Louis Guss,Decoy
Louis Guss,Silver Spoons
Louis Guss,Morton's by the Bay
Louis Guss,The Godfather Trilogy: 1901-1980
Louis Guss,The Magical World of Disney
Richard Fass,Mulberry Stains
Richard Fass,The Godfather
Don Costello,The Godfather: Part III
Don Costello,Class of Nuke 'Em High
Don Costello,Splatter University
Don Costello,The Toxic Avenger
Don Costello,The First Turn-On!!
Don Costello,Stuck on You!
Don Costello,The Godfather Saga
Don Costello,The Godfather
Don Costello,The Gang That Couldn't Shoot Straight
Sofia Coppola,Madonna: Celebration - The Video Collection
Sofia Coppola,Corporate Ghost
Sofia Coppola,Phoenix: Funky Squaredance
Sofia Coppola,CQ
Sofia Coppola,Star Wars: Episode I - The Phantom Menace
Sofia Coppola,The Chemical Brothers: Elektrobank
Sofia Coppola,Ciao L.A.
Sofia Coppola,The Black Crowes: Sometimes Salvation
Sofia Coppola,Madonna: Deeper and Deeper
Sofia Coppola,Inside Monkey Zetterland
Sofia Coppola,Sonic Youth: Mildred Pierce
Sofia Coppola,The Godfather: Part III
Sofia Coppola,The Spirit of '76
Sofia Coppola,Tucker: The Man and His Dream
Sofia Coppola,Anna
Sofia Coppola,Faerie Tale Theatre
Sofia Coppola,Peggy Sue Got Married
